	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	3.535621572185191e-06	9.044951405459534e-06
10.5	3.535621572185191e-06	9.044951405459534e-06
10.75	3.535621572185191e-06	9.044951405459534e-06
11.0	1.8472551978509722e-06	5.339874926456863e-06
11.25	2.2148071747007986e-06	8.58143866965288e-06
11.5	2.2148071747007986e-06	8.58143866965288e-06
11.75	2.2148071747007986e-06	8.58143866965288e-06
12.0	1.6902092035947532e-06	4.336419329008865e-06
12.25	1.5664791365295545e-06	7.42526694201305e-06
12.5	1.5664791365295545e-06	7.42526694201305e-06
12.75	1.5664791365295545e-06	7.42526694201305e-06
13.0	2.0278835086406085e-06	3.0544338219891224e-06
13.25	1.9192844114097504e-06	5.285798458880191e-06
13.5	1.9192844114097504e-06	5.285798458880191e-06
13.75	1.9192844114097504e-06	5.285798458880191e-06
14.0	3.4895357165432935e-06	3.087990027475591e-06
14.25	3.148402713931788e-06	3.9656465773273245e-06
14.5	3.148402713931788e-06	3.9656465773273245e-06
14.75	3.148402713931788e-06	3.9656465773273245e-06
15.0	1.1133646408405186e-05	1.0465961683503278e-05
15.25	1.0629723455524897e-05	8.749510211898013e-06
15.5	1.0629723455524897e-05	8.749510211898013e-06
15.75	1.0629723455524897e-05	8.749510211898013e-06
16.0	1.6721370556286283e-05	1.443889715229878e-05
16.25	2.2079748382811844e-05	1.885816471563271e-05
16.5	2.2079748382811844e-05	1.885816471563271e-05
16.75	2.2079748382811844e-05	1.885816471563271e-05
17.0	1.9660190235935435e-05	1.3213111978778237e-05
17.25	2.7966438406290586e-05	2.041117174455542e-05
17.5	2.7966438406290586e-05	2.041117174455542e-05
17.75	2.7966438406290586e-05	2.041117174455542e-05
18.0	1.990996394550738e-05	9.061923147302897e-06
18.25	3.094907127943912e-05	1.5761115080953522e-05
18.5	3.094907127943912e-05	1.5761115080953522e-05
18.75	3.094907127943912e-05	1.5761115080953522e-05
19.0	1.6141055856157827e-05	6.8070805606094235e-06
19.25	2.76662524909145e-05	1.1547695472916952e-05
19.5	2.76662524909145e-05	1.1547695472916952e-05
