	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	5.843908327930674e-07	4.613456990720137e-06
10.5	5.843908327930674e-07	4.613456990720137e-06
10.75	5.843908327930674e-07	4.613456990720137e-06
11.0	4.977888829605271e-07	4.1916553612265485e-06
11.25	8.364872906661269e-07	6.029616090917426e-06
11.5	8.364872906661269e-07	6.029616090917426e-06
11.75	8.364872906661269e-07	6.029616090917426e-06
12.0	3.730013591883486e-07	3.5660906086187833e-06
12.25	1.0416490568889655e-06	6.530713274935717e-06
12.5	1.0416490568889655e-06	6.530713274935717e-06
12.75	1.0416490568889655e-06	6.530713274935717e-06
13.0	1.9889073620653768e-07	3.6609723652590974e-06
13.25	4.760373912986721e-07	5.638034312300263e-06
13.5	4.760373912986721e-07	5.638034312300263e-06
13.75	4.760373912986721e-07	5.638034312300263e-06
14.0	2.383893207015596e-07	4.0500739873760125e-06
14.25	5.114245518601153e-07	7.1086786345099134e-06
14.5	5.114245518601153e-07	7.1086786345099134e-06
14.75	5.114245518601153e-07	7.1086786345099134e-06
15.0	2.054863728233974e-07	3.434637680381799e-06
15.25	4.891127066530605e-07	6.329951475590998e-06
15.5	4.891127066530605e-07	6.329951475590998e-06
15.75	4.891127066530605e-07	6.329951475590998e-06
16.0	1.6548581371430658e-07	3.039369681141696e-06
16.25	3.282201185535319e-07	5.2848066021375436e-06
16.5	3.282201185535319e-07	5.2848066021375436e-06
16.75	3.282201185535319e-07	5.2848066021375436e-06
17.0	1.5788542031549203e-07	2.6514630014773114e-06
17.25	2.4312825641339565e-07	4.51307129104927e-06
17.5	2.4312825641339565e-07	4.51307129104927e-06
17.75	2.4312825641339565e-07	4.51307129104927e-06
18.0	2.3013738295064236e-07	2.2944659391444335e-06
18.25	3.3043307519043854e-07	3.3688959559636472e-06
18.5	3.3043307519043854e-07	3.3688959559636472e-06
18.75	3.3043307519043854e-07	3.3688959559636472e-06
19.0	3.265797698977229e-07	2.4949409675308475e-06
19.25	6.621241681960307e-07	3.720979451370814e-06
19.5	6.621241681960307e-07	3.720979451370814e-06
