	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	4.732259477336599e-05	0.00012840713999767484
10.5	4.732259477336599e-05	0.00012840713999767484
10.75	4.732259477336599e-05	0.00012840713999767484
11.0	1.728159258737079e-05	5.842527909378448e-05
11.25	3.389903815326197e-05	9.424361362496834e-05
11.5	3.389903815326197e-05	9.424361362496834e-05
11.75	3.389903815326197e-05	9.424361362496834e-05
12.0	1.707257405972903e-05	7.112150828666247e-05
12.25	2.5198397900901655e-05	8.979715714135559e-05
12.5	2.5198397900901655e-05	8.979715714135559e-05
12.75	2.5198397900901655e-05	8.979715714135559e-05
13.0	2.813252848549718e-05	9.368503507392728e-05
13.25	3.1529991141914685e-05	0.00011947181463778528
13.5	3.1529991141914685e-05	0.00011947181463778528
13.75	3.1529991141914685e-05	0.00011947181463778528
14.0	4.9425855998297007e-05	0.00010360379841517854
14.25	5.464167801800901e-05	0.00014276281806637782
14.5	5.464167801800901e-05	0.00014276281806637782
14.75	5.464167801800901e-05	0.00014276281806637782
15.0	7.082961337264595e-05	9.005021075538506e-05
15.25	8.801819657514333e-05	0.0001351955498083817
15.5	8.801819657514333e-05	0.0001351955498083817
15.75	8.801819657514333e-05	0.0001351955498083817
16.0	7.882644892840981e-05	6.65561208619414e-05
16.25	0.00011089277779449563	0.00010550879448004743
16.5	0.00011089277779449563	0.00010550879448004743
16.75	0.00011089277779449563	0.00010550879448004743
17.0	9.082857854843272e-05	4.558356466659879e-05
17.25	0.00012669247310119052	7.401880313223949e-05
17.5	0.00012669247310119052	7.401880313223949e-05
17.75	0.00012669247310119052	7.401880313223949e-05
18.0	0.00011757057213243554	4.6878765215679606e-05
18.25	0.00015754080183451297	5.6515882655210704e-05
18.5	0.00015754080183451297	5.6515882655210704e-05
18.75	0.00015754080183451297	5.6515882655210704e-05
19.0	0.00012254894602884765	5.3990821462983224e-05
19.25	0.00018280448119572225	7.0187834295386e-05
19.5	0.00018280448119572225	7.0187834295386e-05
19.75	0.00018280448119572225	7.0187834295386e-05
20.0	9.367591815600787e-05	4.353719534702735e-05
