	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	6.1031440570079576e-05	0.00031051166791265755
10.5	6.1031440570079576e-05	0.00031051166791265755
10.75	6.1031440570079576e-05	0.00031051166791265755
11.0	1.5817899999233645e-05	0.00023558530511184813
11.25	3.014659753171773e-05	0.0003164059039255037
11.5	3.014659753171773e-05	0.0003164059039255037
11.75	3.014659753171773e-05	0.0003164059039255037
12.0	1.2175361278196252e-05	0.00018040512766888026
12.25	2.2024137654201342e-05	0.000257072590724479
12.5	2.2024137654201342e-05	0.000257072590724479
12.75	2.2024137654201342e-05	0.000257072590724479
13.0	8.52920632181444e-06	0.00014864245085763908
13.25	1.4387522892658005e-05	0.00020328131755874797
13.5	1.4387522892658005e-05	0.00020328131755874797
13.75	1.4387522892658005e-05	0.00020328131755874797
14.0	1.259774689799726e-05	0.00012389411744756482
14.25	1.3697542034770713e-05	0.00017306499919421961
14.5	1.3697542034770713e-05	0.00017306499919421961
14.75	1.3697542034770713e-05	0.00017306499919421961
15.0	1.9455794161774516e-05	8.743822396986098e-05
15.25	2.105539877054369e-05	0.0001282111693530771
15.5	2.105539877054369e-05	0.0001282111693530771
15.75	2.105539877054369e-05	0.0001282111693530771
16.0	2.897121242453204e-05	9.473598729875141e-05
16.25	2.8847226854913273e-05	0.00010775595063278281
16.5	2.8847226854913273e-05	0.00010775595063278281
16.75	2.8847226854913273e-05	0.00010775595063278281
17.0	4.022741696570834e-05	0.00011677721351675043
17.25	4.164509068415775e-05	0.0001367880416733289
17.5	4.164509068415775e-05	0.0001367880416733289
17.75	4.164509068415775e-05	0.0001367880416733289
18.0	3.863206987604397e-05	0.0001004466549227237
18.25	4.62055979201296e-05	0.00013126967687186514
18.5	4.62055979201296e-05	0.00013126967687186514
18.75	4.62055979201296e-05	0.00013126967687186514
19.0	3.031735174789432e-05	8.454321035323026e-05
19.25	3.91604363555486e-05	0.00010915954418293395
19.5	3.91604363555486e-05	0.00010915954418293395
19.75	3.91604363555486e-05	0.00010915954418293395
20.0	1.9931017300246467e-05	8.637756770746252e-05
