	lf_HRV	hf_HRV
0.0	0.0	0.0
0.25	0.0	0.0
0.5	0.0	0.0
0.75	0.0	0.0
1.0	0.0	0.0
1.25	0.0	0.0
1.5	0.0	0.0
1.75	0.0	0.0
2.0	0.0	0.0
2.25	0.0	0.0
2.5	0.0	0.0
2.75	0.0	0.0
3.0	0.0	0.0
3.25	0.0	0.0
3.5	0.0	0.0
3.75	0.0	0.0
4.0	0.0	0.0
4.25	0.0	0.0
4.5	0.0	0.0
4.75	0.0	0.0
5.0	0.0	0.0
5.25	0.0	0.0
5.5	0.0	0.0
5.75	0.0	0.0
6.0	0.0	0.0
6.25	0.0	0.0
6.5	0.0	0.0
6.75	0.0	0.0
7.0	0.0	0.0
7.25	0.0	0.0
7.5	0.0	0.0
7.75	0.0	0.0
8.0	0.0	0.0
8.25	0.0	0.0
8.5	0.0	0.0
8.75	0.0	0.0
9.0	0.0	0.0
9.25	0.0	0.0
9.5	0.0	0.0
9.75	0.0	0.0
10.0	0.0	0.0
10.25	3.0270446746914053e-05	0.00020899043787897116
10.5	3.0270446746914053e-05	0.00020899043787897116
10.75	3.0270446746914053e-05	0.00020899043787897116
11.0	0.00025346843600675524	0.001180506721833141
11.25	0.00013850274634051734	0.0010134896070675653
11.5	0.00013850274634051734	0.0010134896070675653
11.75	0.00013850274634051734	0.0010134896070675653
12.0	0.0005707054414964311	0.0015365555826237773
12.25	0.0005951937575557304	0.0018813306630322746
12.5	0.0005951937575557304	0.0018813306630322746
12.75	0.0005951937575557304	0.0018813306630322746
13.0	0.0005045705969814598	0.0012430250219028116
13.25	0.000753992615848691	0.0017204130705743275
13.5	0.000753992615848691	0.0017204130705743275
13.75	0.000753992615848691	0.0017204130705743275
14.0	0.000347169678379397	0.0012205774436990409
14.25	0.0005734203538076292	0.0016023233375706423
14.5	0.0005734203538076292	0.0016023233375706423
14.75	0.0005734203538076292	0.0016023233375706423
15.0	0.00027368267184077596	0.001115466269500568
15.25	0.00043643657644149	0.0015654634146547782
15.5	0.00043643657644149	0.0015654634146547782
15.75	0.00043643657644149	0.0015654634146547782
16.0	0.0002248080186505044	0.0008877188521982335
16.25	0.0003611039131522123	0.0013214149278618144
16.5	0.0003611039131522123	0.0013214149278618144
16.75	0.0003611039131522123	0.0013214149278618144
17.0	0.00017820795322152504	0.0006805194242055047
17.25	0.000292278940152556	0.0010412424971022287
17.5	0.000292278940152556	0.0010412424971022287
17.75	0.000292278940152556	0.0010412424971022287
18.0	0.00014535308607590476	0.0004958411581359419
18.25	0.0002347248285845862	0.0007809123591820735
18.5	0.0002347248285845862	0.0007809123591820735
18.75	0.0002347248285845862	0.0007809123591820735
19.0	9.275658593061366e-05	0.00036172035959547037
19.25	0.00017218722178324528	0.0005663961665581174
19.5	0.00017218722178324528	0.0005663961665581174
19.75	0.00017218722178324528	0.0005663961665581174
20.0	7.214325356520565e-05	0.000427169257918378
20.25	8.495292170960565e-05	0.000490579956161616
20.5	8.495292170960565e-05	0.000490579956161616
20.75	8.495292170960565e-05	0.000490579956161616
